;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
29.03; SECRETARÍA DE ESTADO DE DERECHOS SOCIALES;1.711,10;261,33;;3.666.553,33;;;12.475,50;;;;;3.681.001,26;
29.04; DIRECCIÓN GENERAL DE DERECHOS DE LOS ANIMALES;567,81;2.298,90;;4.615,00;;;;;;;;7.481,71;
29.05; DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES;3.994,28;2.215,34;;430.022,37;;;7.000,00;;;;;443.231,99;
29.06; DIRECCIÓN GENERAL DE DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;1.930,51;418,50;;5.420,00;;;;;;;;7.769,01;
29.07; DIRECCIÓN GENERAL DE AGENDA 2030;1.790,53;3.454,44;;19.400,00;;;;;;;;24.644,97;
29.08; SECRETARÍA GENERAL DE CONSUMO Y JUEGO;386,09;934,68;;11.711,67;;;2.341,45;;;;;15.373,89;
29.09; DIRECCIÓN GENERAL DE CONSUMO;8.405,13;2.584,19;5,00;5.585,46;;980,00;;;;;;17.559,78;
29.10; DIRECCIÓN GENERAL DE ORDENACIÓN DEL JUEGO;2.332,15;4.065,60;;2.225,00;;3.741,85;;;;;;12.364,60;
30;MINISTERIO DE IGUALDAD;14.532,81;17.212,68;;434.042,47;;26.753,74;10.365,00;25,00;;;;502.931,70;
30.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;9.185,15;3.470,37;;;;620,20;;25,00;;;;13.300,72;
30.02; SECRETARÍA DE ESTADO DE IGUALDAD Y PARA LA ERRADICACIÓN DE LA VIOLENCIA CONTRA LAS MUJERES;2.791,60;7.025,04;;380.424,47;;9.510,00;10.365,00;;;;;410.116,11;
30.03; DELEGACIÓN DEL GOBIERNO CONTRA LA VIOLENCIA DE GÉNERO;2.556,06;6.717,27;;53.618,00;;16.623,54;;;;;;79.514,87;
31;MINISTERIO DE JUVENTUD E INFANCIA;11.260,85;3.668,07;;49.090,25;;7.075,00;90.299,22;;;;;161.393,39;
31.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;8.011,41;1.322,41;;;;75,00;;;;;;9.408,82;
31.02; SECRETARÍA GENERAL TÉCNICA;953,01;34,84;;;;;;;;;;987,85;
31.03; SECRETARÍA DE ESTADO DE JUVENTUD E INFANCIA;253,20;25,20;;30,00;;;;;;;;308,40;
31.04; DIRECCIÓN GENERAL DE DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA;2.043,23;2.285,62;;49.060,25;;;299,22;;;;;53.688,32;
31.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;;;7.000,00;90.000,00;;;;;97.000,00;
32;MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;60.225,00;710.792,52;270,00;34.820.838,35;;14.281,00;1.540,20;10.005.661,15;;;;45.613.608,22;
32.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;23.420,59;20.509,10;70,00;381,24;;13.281,00;;55,00;;;;57.716,93;
32.02; SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;10.968,65;;;34.726.029,32;;;1.240,20;10.005.606,15;;;;44.743.844,32;
32.03; SECRETARÍA DE ESTADO DE MIGRACIONES;23.133,92;690.283,42;200,00;94.377,79;;1.000,00;300,00;;;;;809.295,13;
32.04; SECRETARÍA GENERAL DE INCLUSIÓN;2.701,84;;;50,00;;;;;;;;2.751,84;
33;MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;69.734,63;41.955,03;;40.092,13;;436.729,50;3.907.932,95;979.837,62;;;;5.476.281,86;
33.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;10.094,98;14.613,85;;;;2.254,08;;12,22;;;;26.975,13;
33.02; SECRETARÍA GENERAL TÉCNICA;1.760,34;56,00;;;;;;;;;;1.816,34;
33.03; SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;19.324,78;1.958,53;;2.864,78;;18.881,04;6.750,00;7.000,00;;;;56.779,13;
33.04; SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;10.294,88;5.924,08;;2.582,84;;19.482,76;35.400,00;160.825,40;;;;234.509,96;
33.05; SECRETARÍA GENERAL DE ADMINISTRACIÓN DIGITAL;12.875,15;16.976,86;;;;17.607,34;;;;;;47.459,35;
33.06; SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;15.384,50;1.005,72;;29.514,51;;876,00;3.448,49;;;;;50.229,22;
33.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;1.419,99;;5.130,00;;377.628,28;3.862.334,46;812.000,00;;;;5.058.512,73;
34;RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;;12.500,00;17.860.350,00;;;170.000,00;;;;;18.042.850,00;
34.01; DIRECCIÓN GENERAL FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA;;;12.500,00;17.860.350,00;;;170.000,00;;;;;18.042.850,00;
35;FONDO DE CONTINGENCIA;;;;;3.964.420,00;;;;;;;3.964.420,00;
35.01; DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;;;;;3.964.420,00;;;;;;;3.964.420,00;
36;FONDOS DE COMPENSACIÓN INTERTERRITORIAL;;;;;;;582.430,00;;;;;582.430,00;
36.03; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;;;;;38.580,16;;;;;38.580,16;
36.04; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;;;;;160.572,89;;;;;160.572,89;
36.05; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;;;;;13.975,88;;;;;13.975,88;
36.06; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA;;;;;;;4.823,05;;;;;4.823,05;
36.08; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. REGIÓN DE MURCIA;;;;;;;20.620,21;;;;;20.620,21;
36.09; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDAD VALENCIANA;;;;;;;53.049,30;;;;;53.049,30;
36.11; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;;;;;;33.293,35;;;;;33.293,35;
36.12; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;;;;;;62.122,02;;;;;62.122,02;
36.14; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;;;;;21.492,92;;;;;21.492,92;
36.17; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;;;;;17.281,18;;;;;17.281,18;
36.18; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;;;;;3.309,52;;;;;3.309,52;
36.19; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;;;;;3.309,52;;;;;3.309,52;
36.20; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;;;;;150.000,00;;;;;150.000,00;
37;OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES;;;;1.810.566,58;;;480.569,69;;;;;2.291.136,27;
37.01; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. COMUNIDADES AUTÓNOMAS;;;;101.726,02;;;282.017,39;;;;;383.743,41;
37.02; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;;1.708.840,56;;;198.552,30;;;;;1.907.392,86;
38;SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;;;;45.087.970,53;;;;;;;;45.087.970,53;
38.01; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PAÍS VASCO;;;;141.500,00;;;;;;;;141.500,00;
38.02; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;;;1.451.346,37;;;;;;;;1.451.346,37;
38.03; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;;725.491,70;;;;;;;;725.491,70;
38.04; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;;609.610,05;;;;;;;;609.610,05;
38.05; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;;226.489,97;;;;;;;;226.489,97;
38.06; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA;;;;596.593,64;;;;;;;;596.593,64;
38.07; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. LA RIOJA;;;;258.348,59;;;;;;;;258.348,59;
38.10; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN;;;;336.673,08;;;;;;;;336.673,08;
38.11; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;;;96.109,99;;;;;;;;96.109,99;
38.12; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;;;91.317,49;;;;;;;;91.317,49;
38.13; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. NAVARRA;;;;2.500,00;;;;;;;;2.500,00;
38.14; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;;541.685,94;;;;;;;;541.685,94;
38.17; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;;526.831,04;;;;;;;;526.831,04;
38.18; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;;34.462,29;;;;;;;;34.462,29;
38.19; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;;43.038,93;;;;;;;;43.038,93;
38.20; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;;18.393.076,30;;;;;;;;18.393.076,30;
38.21; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES;;;;21.012.895,15;;;;;;;;21.012.895,15;
;TOTAL;20.487.290,20;4.934.150,65;31.329.770,86;142.200.635,89;3.964.420,00;11.079.852,79;29.168.902,64;40.135.454,61;97.521.932,88;;;380.822.410,52;
;;



