;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;;;35;Intereses de demora y otros gastos financieros;;3,00;
v;;;359;Otros gastos financieros;;3,00;
;;;;TOTAL GASTOS FINANCIEROS;;3,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;200,00;
v;;;480;A la Asociación Española de Normalización (UNE);;200,00;
v;;;49;Al exterior;;810,00;
v;;;493;Cuotas a Organismos Internacionales;;810,00;
;;;49300; Unión Postal Universal;640,00;;
;;;49301; Unión Postal de las Américas, España y Portugal;170,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.010,00;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;93,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;93,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;120,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;120,00;
;;;;TOTAL INVERSIONES REALES;;213,00;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;1.601,47;
 ; ;;;;;;
v;;000X;;Transferencias y libramientos internos;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;110.000,00;
v;;;431;A la CNMC para el Fondo de financiación del Servicio Postal Universal;;110.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;110.000,00;
 ; ;;;;;;
;;;;TOTAL Transferencias y libramientos internos;;110.000,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL TÉCNICA;;111.601,47;
 ; ;;;;;;
 ; ;;;;;;
v;18;;;DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;;;
